"host","records_per_host","avg_bow_size","min_bow_size","max_bow_size"
"www.hawaii.edu",50,13,1,212
"gar.lternet.edu",50,1713,698,3983
"ebtc.eu",50,36,33,39
"moimagery.missouri.edu",50,1903,70,6992
"web.missouri.edu",49,9,2,56
"gateway.golabz.eu",49,364,231,508
"data.hartford.gov",49,4301,27,27254
"www2.ic.edu",49,52,4,274
"www-s.ks.uiuc.edu",49,114,19,619
"www.umkc.edu",49,4,4,4
"variations2.indiana.edu",49,303,56,1418
"www.stat.ufl.edu",49,10,1,80
"new.aviationweather.gov",49,1470,2,13192
"www.maris.state.ms.us",49,161,2,423
"ccrc.tc.columbia.edu",48,56,55,59
"geoportal.utc.edu",48,1159,3,6333
"www.regione.liguria.it",48,481,9,15579
"data.illinois.gov",48,3931,27,27899
"www.opc.ncep.noaa.gov",48,140,4,1138
"facultad.bayamon.inter.edu",48,8,1,30
"web.mta.info",47,339,2,676
"insideidaho.org",47,1894,342,7596
"opendata.tatar.ru",47,72,7,186
"www.oregongeology.org",47,764,10,6992
"trac.openxdata.org",47,886,3,13066
"www.opendata.larochelle.fr",47,2667,9,25488
"converters.eionet.europa.eu",47,1644,3,28835
"ceprofs.civil.tamu.edu",47,19,2,193
"85.18.173.117",47,3580,2,61567
"srsor.ssec.wisc.edu",47,1,1,2
"data.ulm.de",47,395,337,513
"www.idaholidar.org",47,5222,563,18780
"capita.wustl.edu",47,264,2,2096
