"tag","match_type","avg_ids"
"metadata/idinfo/citation/citeinfo/onlink","md5",1.00
"metadata/idinfo/citation/citeinfo/onlink","uuid",1.00
"metadata/idinfo/citation/citeinfo/origin","doi",1.00
"metadata/idinfo/citation/citeinfo/othercit","doi",1.47
"metadata/idinfo/citation/citeinfo/othercit","urn",1.00
"metadata/idinfo/citation/citeinfo/othercit","cooluri",1.00
"metadata/idinfo/citation/citeinfo/pubinfo/publish","doi",1.00
"metadata/idinfo/citation/citeinfo/title/@catid","urn",1.00
"metadata/idinfo/citation/citeinfo/title/@catid","uuid",1.00
"metadata/idinfo/citation/descript/abstract","urn",1.00
"metadata/idinfo/citation/eainfo/detailed/attr/attrdomv/edom/edomvd","urn",1.00
"metadata/idinfo/citation/status/progress","cooluri",1.00
"metadata/idinfo/crossref/citeinfo/onlink","doi",2.54
"metadata/idinfo/crossref/citeinfo/onlink","uuid",2.00
"metadata/idinfo/crossref/citeinfo/onlink","md5",1.36
"metadata/idinfo/crossref/citeinfo/onlink","cooluri",1.25
"metadata/idinfo/crossref/citeinfo/onlink","urn",1.00
"metadata/idinfo/crossref/citeinfo/othercit","doi",2.33
"metadata/idinfo/crossref/citeinfo/othercit","md5",1.00
"metadata/idinfo/crossref/citeinfo/othercit","cooluri",1.00
"metadata/idinfo/crossref/citeinfo/title","urn",1.00
"metadata/idinfo/crossref/citeinfo/title","doi",1.00
"metadata/idinfo/datacred","doi",2.61
"metadata/idinfo/datsetid","text",1.00
"metadata/idinfo/descript/abstract","uuid",2.00
"metadata/idinfo/descript/abstract","doi",1.16
"metadata/idinfo/descript/abstract","md5",1.00
"metadata/idinfo/descript/abstract","urn",1.00
"metadata/idinfo/descript/abstract","cooluri",1.00
"metadata/idinfo/descript/noaainfo/reference","doi",1.00
"metadata/idinfo/descript/purpose","cooluri",1.00
"metadata/idinfo/descript/purpose","urn",1.00
"metadata/idinfo/descript/supplinf","doi",1.88
"metadata/idinfo/descript/supplinf","urn",1.18
"metadata/idinfo/descript/supplinf","cooluri",1.02
"metadata/idinfo/descript/supplinf","uuid",1.00
"metadata/idinfo/descript/supplinf","md5",1.00
"metadata/idinfo/ptcontac/cntinfo/cntemail","urn",1.00
"metadata/idinfo/spdom/descgeog","urn",2.00
"metadata/idinfo/spdom/multimal/ovlpdtid/datsetid","text",1.00
"metadata/idinfo/tool/toolcite/citeinfo/onlink","md5",1.00
"metadata/idinfo/tool/toolcite/citeinfo/onlink","cooluri",1.00
"metadata/idinfo/useconst","doi",1.00
"metadata/idinfo/useconst","urn",1.00
"metadata/link_landing","uuid",1.00
"metadata/mdContact/editorDigest","md5",1.70
"Metadata/mdContact/rpOrgName/@SDNIdent","urn",1.00
"Metadata/mdExtInfo/extEleInfo/extEleName","urn",5.00
"metadata/mdFileID","uuid",1.00
"Metadata/mdHrLvName/@SDNIdent","urn",1.00
"metadata/mdMaint/maintCont/editorDigest","md5",1.34
"metadata/meta","uuid",1.00
"metadata/metainfo/metc/cntinfo/cntinst","cooluri",1.00
"metadata/metainfo/metc/cntinfo/hours","urn",1.00
"metadata/metainfo/metextns/onlink","cooluri",2.00
"metadata/metainfo/metuc","uuid",1.00
"metadata/package/description","cooluri",3.00
"metadata/package/format/file","cooluri",177.00
"metadata/package/format/requires/entry/@name","cooluri",4.00
"metadata/ph/methodReference","doi",1.00
"metadata/plmiinfo/missinfo/missdesc","urn",1.00
"metadata/plmiinfo/missinfo/misshist/misssige/procstep/procdesc","urn",1.00
"metadata/project/idinfo/descript/supplinf","doi",2.67
